"site_id","url","content_type","published_at","title","source_url","source_date","word_count","duplicate_cluster","similarity_score","index_status","decision","reason","redirect_target","rollback_method","reviewer"
"cowinmotors","https://www.cowinmotors.com/news/eaton-expands-advanced-valve-technology-2773e104","news","2026-08-08T01:01:02.012Z","Eaton Expands Advanced Valve Technology - aftermarket parts sourcing note","https://www.aftermarketnews.com/eaton-livc-technology-commercial-vehicle-engine-programs/","2026-08-07T13:38:32.000Z","229","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/j-038-n-expands-aftermarket-electrical-portfolio-5ce6db11","news","2026-08-08T01:01:01.928Z","J&#038;N Expands Aftermarket Electrical Portfolio - aftermarket parts sourcing note","https://www.counterman.com/j-n-adds-52-aftermarket-electrical-products/","2026-08-07T13:47:59.000Z","245","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/questionable-salvage-bid-ratings-may-push-repairable-vehicles-to-total-los-c4c355e2","news","2026-08-08T01:01:01.680Z","Questionable Salvage Bid Ratings May Push Repairable Vehicles to Total Loss - aftermarket parts sourcing note","https://www.autobodynews.com/regional/midwest-regional-news/questionable-salvage-bid-ratings-may-push-repairable-vehicles-to-total-loss","2026-08-07T18:45:31.000Z","239","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/industry-roundup-certified-collision-group-names-new-cfo-assurity-unveils--d468c9d2","news","2026-08-08T01:01:01.195Z","Industry Roundup: Certified Collision Group Names New CFO, Assurity Unveils AI-Focused Nashville Conference, and More - ","https://www.autobodynews.com/regional/midwest-regional-news/industry-roundup-certified-collision-group-names-new-cfo-assurity-unveils-ai-focused-nashville-conference-and-more","2026-08-07T19:11:26.000Z","246","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/zf-aftermarket-fleet-solutions-earn-award-nominations-952ef979","news","2026-08-07T01:01:05.190Z","ZF Aftermarket Fleet Solutions Earn Award Nominations - aftermarket parts sourcing note","https://www.aftermarketnews.com/zf-aftermarket-automechanika-innovation-awards-2026/","2026-08-06T14:11:38.000Z","225","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/sema-names-brian-pagel-chief-revenue-officer-ca9c9022","news","2026-08-07T01:01:05.109Z","SEMA Names Brian Pagel Chief Revenue Officer - aftermarket parts sourcing note","https://www.aftermarketnews.com/sema-names-brian-pagel-chief-revenue-officer/","2026-08-06T14:40:45.000Z","269","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/gsp-names-miguel-jaime-navarro-aftermarket-product-manager-e9f088ee","news","2026-08-07T01:01:05.051Z","GSP Names Miguel Jaime Navarro Aftermarket Product Manager - aftermarket parts sourcing note","https://www.counterman.com/gsp-names-miguel-jaime-navarro-product-manager/","2026-08-06T15:02:35.000Z","235","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/don-8217-t-overlook-the-valve-stem-765cceec","news","2026-08-07T01:01:04.948Z","Don&#8217;t Overlook the Valve Stem - aftermarket parts sourcing note","https://www.counterman.com/dont-overlook-the-valve-stem/","2026-08-06T19:52:21.000Z","264","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/sun-auto-network-expands-pacific-northwest-presence-f3906b45","news","2026-08-06T01:00:30.429Z","Sun Auto Network expands Pacific Northwest presence - aftermarket parts sourcing note","https://www.aftermarketmatters.com/regions/northwest/sun-auto-network-expands-pacific-northwest-presence/","2026-08-05T16:44:51.000Z","254","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/universal-technical-institute-opens-new-atlanta-campus-51d2e03a","news","2026-08-06T01:00:30.304Z","Universal Technical Institute opens new Atlanta campus - aftermarket parts sourcing note","https://www.aftermarketmatters.com/collision-repair/collision-education-training/universal-technical-institute-opens-new-atlanta-campus/","2026-08-05T16:56:09.000Z","267","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/axalta-akzonobel-shareholders-approve-25-billion-coatings-merger-1fa8dedb","news","2026-08-06T01:00:30.152Z","Axalta, AkzoNobel Shareholders Approve $25 Billion Coatings Merger - aftermarket parts sourcing note","https://www.autobodynews.com/regional/midwest-regional-news/axalta-akzonobel-shareholders-approve-25-billion-coatings-merger","2026-08-05T21:00:32.000Z","246","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
"cowinmotors","https://www.cowinmotors.com/news/ase-connects-back-to-school-giveaway-win-tools-and-prizes-from-snap-on-f8d62615","news","2026-08-06T01:00:30.048Z","ASE Connects back-to-school giveaway: Win tools and prizes from Snap-on - aftermarket parts sourcing note","https://www.aftermarketmatters.com/collision-repair/collision-education-training/ase-connects-back-to-school-giveaway-win-tools-and-prizes-from-snap-on/","2026-08-05T22:35:16.000Z","274","","","noindex,follow","noindex-follow","Legacy external News retained for audit and editorial review; excluded from public lists and sitemap while noindex.","","Restore indexable flag and public visibility after editorial review.","system-audit"
